,lat,lon
0,17.387641665,78.3571125025
1,17.36802315,78.40047407333333
2,17.40564167,78.28331944
3,17.3972,78.30236111
4,17.36485741,78.39563888666667
5,17.366890740000002,78.35171666666668
6,17.3703805575,78.3505513875
7,17.3591972225,78.3872055575
8,17.386517129999998,78.34755185166667
9,17.41639722,78.2574
10,17.37478333,78.31778333
11,17.38445833,78.32015833
12,17.35441389,78.35818056
13,17.35714444,78.38335
14,17.41840833,78.24702778
15,17.35106111,78.363619445
16,17.40048611,78.35309722
17,17.410058335000002,78.321473615
18,17.40856111,78.32749167
19,18.56972222,78.35188889
20,17.394695835,78.352706945
21,17.38525185,78.33103796333333
22,17.38623889,78.43611111
23,17.40256111,78.33857778
24,17.40520278,78.33434722
25,17.38500556,78.35759167
26,17.35059389,78.369870556
27,17.350580555,78.36202639000001
28,17.35715833,78.35586389
29,17.38634444,78.31659167
30,17.385756945,78.353854165
31,17.39796111,78.34820278
32,17.41561111,78.26018611
33,17.42150278,78.2687
34,17.38871111,78.35231667
35,17.40981111,78.29685
36,17.385962963333338,78.33442129666666
37,17.3669,78.39890972
38,17.39282778,78.34193333
39,17.39587917,78.3131875
40,17.354459522857145,78.37880595142857
41,17.38770556,78.31601389
42,17.39636389,78.35030556
43,17.38533056,78.35563333
44,17.41671389,78.33501944
45,17.405777775,78.33269028000001
46,17.36181111,78.32323056
47,17.41480139,78.333529165
48,17.34741944,78.38379722
49,17.40035278,78.34306389
50,17.383919445,78.351056945
51,17.39971389,78.364975
52,17.37068333,78.40434167
53,17.388655555,78.327668055
54,17.384536110000003,78.32276296333333
55,17.35258518666667,78.37713518666666
56,17.35969167,78.379275
57,17.406404164999998,78.330758335
58,17.37117222,78.37878333
59,17.38664722,78.3182
60,17.38759722,78.35217222
61,17.39609722,78.39019167
62,17.39039167,78.358025
63,17.36290278,78.39066667
64,17.35291944,78.35863333
65,17.37126944,78.34926667
66,17.37894722,78.35458611
67,17.40223333,78.29151111
68,17.40441111,78.33614722
69,17.39077778,78.34143056
70,17.4127,78.26696667
71,17.40756389,78.32844722
72,17.39956667,78.34451944
73,17.41042222,78.31999167
74,17.39357222,78.31983889
75,17.35134722,78.37415556
76,17.40661111,78.37871667
77,17.38766389,78.33945556
78,17.36034722,78.38888889
79,17.38547361,78.332231945
80,17.35153056,78.35103333
81,17.40976111,78.32328611
82,17.38795278,78.34258056
